nama_variabel, nama_variabel_telur, nama_tahun, nama_turunan_tahun, data_content, nama_item_vertical_variabel
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 1.856, Lampung Barat
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 1.999, Tanggamus
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.594, Lampung Selatan
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.113, Lampung Timur
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.221, Lampung Tengah
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.206, Lampung Utara
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.322, Way Kanan
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 1.975, Tulangbawang
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.156, Pesawaran
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.178, Pringsewu
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 1.87, Mesuji
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 1.877, Tulang Bawang Barat
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 1.685, Pesisir Barat
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 3.144, Kota Bandar Lampung
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2021, Tahun, 2.863, Kota Metro
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 1.647, Lampung Barat
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.057, Tanggamus
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.369, Lampung Selatan
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.051, Lampung Timur
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.208, Lampung Tengah
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.137, Lampung Utara
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.146, Way Kanan
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 1.749, Tulangbawang
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.202, Pesawaran
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.105, Pringsewu
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 1.753, Mesuji
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 1.637, Tulang Bawang Barat
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 1.807, Pesisir Barat
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.878, Kota Bandar Lampung
Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Telur dan Susu Per Kabupaten/kota, Telur ayam ras, 2020, Tahun, 2.685, Kota Metro
